,lr,onebeta1
0,0.001397670114471035,0.00452425841656746
1,0.0004269955983839769,0.0072172679921197755
2,0.013016847490757457,0.7543022181429117
3,0.0012413851645022437,0.4200072503565491
4,0.0003350320216954532,0.004587772706864968
5,0.00023985856427741653,0.06307337802957678
6,0.0003386631675298777,0.012088961017970782
7,0.016500688764429308,0.5787754042360329
8,0.00017832404611639396,0.009876404442790648
9,0.003070188096580925,0.3863045691741417
10,0.0032577222015531455,0.8671421341578218
11,0.011941328136077518,0.007684542887025516
12,0.0007319910964530048,0.026574658086540755
13,0.0004755978451805266,0.44100905216401937
14,0.003687678061930267,0.6119670351542812
15,0.00018921648636157149,0.5869006052429184
16,0.019292387162689422,0.016543028253484904
17,0.019085534224435607,0.30907081570859646
18,0.0004992376087079558,0.20773277446738678
19,0.007156066243114307,0.01332816651853492
